Particle	Position	Velocity	Acceleration	Density	Pressure	Energy	Total Energy	Total Momentum	Time
2	-0.493750	0.000001	0.004681	1.001766	1.001766	2.500001	1.474393	0.000419	0.000500
3	-0.491250	-0.000000	-0.000046	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
4	-0.488750	-0.000000	-0.000733	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
5	-0.486250	0.000001	0.001383	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
6	-0.483750	0.000002	0.004305	1.001759	1.001759	2.500000	1.474393	0.000419	0.000500
7	-0.481250	-0.000002	-0.004305	1.001759	1.001759	2.500000	1.474393	0.000419	0.000500
8	-0.478750	-0.000001	-0.001384	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
9	-0.476250	0.000000	0.000707	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
10	-0.473750	0.000000	0.000073	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
11	-0.471250	0.000000	0.000002	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
12	-0.468750	-0.000000	-0.000000	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
13	-0.466250	-0.000000	-0.000000	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
14	-0.463750	0.000000	0.000000	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
15	-0.461250	0.000000	0.000000	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
16	-0.458750	-0.000000	-0.000002	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
17	-0.456250	-0.000000	-0.000073	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
18	-0.453750	-0.000000	-0.000707	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
19	-0.451250	0.000001	0.001384	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
20	-0.448750	0.000002	0.004305	1.001759	1.001759	2.500000	1.474393	0.000419	0.000500
21	-0.446250	-0.000002	-0.004305	1.001759	1.001759	2.500000	1.474393	0.000419	0.000500
22	-0.443750	-0.000001	-0.001384	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
23	-0.441250	0.000000	0.000707	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
24	-0.438750	0.000000	0.000073	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
25	-0.436250	0.000000	0.000002	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
26	-0.433750	-0.000000	-0.000002	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
27	-0.431250	-0.000000	-0.000073	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
28	-0.428750	-0.000000	-0.000707	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
29	-0.426250	0.000001	0.001384	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
30	-0.423750	0.000002	0.004305	1.001759	1.001759	2.500000	1.474393	0.000419	0.000500
31	-0.421250	-0.000002	-0.004305	1.001759	1.001759	2.500000	1.474393	0.000419	0.000500
32	-0.418750	-0.000001	-0.001384	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
33	-0.416250	0.000000	0.000707	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
34	-0.413750	0.000000	0.000073	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
35	-0.411250	0.000000	0.000002	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
36	-0.408750	-0.000000	-0.000000	1.001764	1.001764	2.500000	1.474393	0.000419	0.000500
